link_id,matrix_ab,matrix_ba,matrix_tot,Congested_Time_AB,Congested_Time_BA,Congested_Time_Max,Delay_factor_AB,Delay_factor_BA,Delay_factor_Max,VOC_AB,VOC_BA,VOC_max,PCE_AB,PCE_BA,PCE_tot
1,6.0,,6.0,7.000000168,,7.000000168,1.000000024,,1.000000024,0.02,,0.02,6.0,,6.0
2,7.0,,7.0,9.00000202584375,,9.00000202584375,1.00000022509375,,1.00000022509375,0.035,,0.035,7.0,,7.0
3,8.450304825507773,,8.450304825507773,9.000004302325728,,9.000004302325728,1.000000478036192,,1.000000478036192,0.04225152412753887,,0.04225152412753887,8.450304825507773,,8.450304825507773
4,8.549695174492227,,8.549695174492227,12.000006011115133,,12.000006011115133,1.0000005009262611,,1.0000005009262611,0.04274847587246113,,0.04274847587246113,8.549695174492227,,8.549695174492227
5,15.450304825507772,,15.450304825507772,3.0000017087894153,,3.0000017087894153,1.0000005695964718,,1.0000005695964718,0.04414372807287935,,0.04414372807287935,15.450304825507772,,15.450304825507772
6,0.0,,0.0,9.0,,9.0,1.0,,1.0,0.0,,0.0,0.0,,0.0
7,8.0,,8.0,5.000000049152,,5.000000049152,1.0000000098304,,1.0000000098304,0.016,,0.016,8.0,,8.0
8,16.0,,16.0,13.0000327155712,,13.0000327155712,1.0000025165824,,1.0000025165824,0.064,,0.064,16.0,,16.0
9,0.0,,0.0,2.0,,2.0,1.0,,1.0,0.0,,0.0,0.0,,0.0
10,6.0,,6.0,9.000000216,,9.000000216,1.000000024,,1.000000024,0.02,,0.02,6.0,,6.0
11,8.0,,8.0,9.0000000884736,,9.0000000884736,1.0000000098304,,1.0000000098304,0.016,,0.016,8.0,,8.0
12,16.0,,16.0,10.000001074287274,,10.000001074287274,1.0000001074287275,,1.0000001074287275,0.02909090909090909,,0.02909090909090909,16.0,,16.0
13,0.0,,0.0,9.0,,9.0,1.0,,1.0,0.0,,0.0,0.0,,0.0
14,0.0,,0.0,6.0,,6.0,1.0,,1.0,0.0,,0.0,0.0,,0.0
15,0.0,,0.0,9.0,,9.0,1.0,,1.0,0.0,,0.0,0.0,,0.0
16,0.0,,0.0,8.0,,8.0,1.0,,1.0,0.0,,0.0,0.0,,0.0
17,8.0,,8.0,7.000002688,,7.000002688,1.000000384,,1.000000384,0.04,,0.04,8.0,,8.0
18,0.0,,0.0,14.0,,14.0,1.0,,1.0,0.0,,0.0,0.0,,0.0
19,6.0,,6.0,11.0000013365,,11.0000013365,1.0000001215,,1.0000001215,0.03,,0.03,6.0,,6.0
