link_id,matrix_ab,matrix_ba,matrix_tot,Congested_Time_AB,Congested_Time_BA,Congested_Time_Max,Delay_factor_AB,Delay_factor_BA,Delay_factor_Max,VOC_AB,VOC_BA,VOC_max,PCE_AB,PCE_BA,PCE_tot
1,100.0,,100.0,7.012962962962963,,7.012962962962963,1.0018518518518518,,1.0018518518518518,0.3333333333333333,,0.3333333333333333,100.0,,100.0
2,75.0,,75.0,9.02669677734375,,9.02669677734375,1.00296630859375,,1.00296630859375,0.375,,0.375,75.0,,75.0
3,113.16596476893757,,113.16596476893757,9.13838120461282,,9.13838120461282,1.0153756894014245,,1.0153756894014245,0.5658298238446878,,0.5658298238446878,113.16596476893757,,113.16596476893757
4,111.83403523106243,,111.83403523106243,12.175973999449207,,12.175973999449207,1.0146644999541006,,1.0146644999541006,0.5591701761553122,,0.5591701761553122,111.83403523106243,,111.83403523106243
5,188.16596476893758,,188.16596476893758,3.0375927955273894,,3.0375927955273894,1.0125309318424631,,1.0125309318424631,0.5376170421969645,,0.5376170421969645,188.16596476893758,,188.16596476893758
6,0.0,,0.0,9.0,,9.0,1.0,,1.0,0.0,,0.0,0.0,,0.0
7,125.0,,125.0,5.0029296875,,5.0029296875,1.0005859375,,1.0005859375,0.25,,0.25,125.0,,125.0
8,175.0,,175.0,13.468194999999998,,13.468194999999998,1.036015,,1.036015,0.7,,0.7,175.0,,175.0
9,0.0,,0.0,2.0,,2.0,1.0,,1.0,0.0,,0.0,0.0,,0.0
10,100.0,,100.0,9.016666666666666,,9.016666666666666,1.0018518518518518,,1.0018518518518518,0.3333333333333333,,0.3333333333333333,100.0,,100.0
11,125.0,,125.0,9.0052734375,,9.0052734375,1.0005859375,,1.0005859375,0.25,,0.25,125.0,,125.0
12,175.0,,175.0,10.015374205996858,,10.015374205996858,1.0015374205996859,,1.0015374205996859,0.3181818181818182,,0.3181818181818182,175.0,,175.0
13,0.0,,0.0,9.0,,9.0,1.0,,1.0,0.0,,0.0,0.0,,0.0
14,0.0,,0.0,6.0,,6.0,1.0,,1.0,0.0,,0.0,0.0,,0.0
15,0.0,,0.0,9.0,,9.0,1.0,,1.0,0.0,,0.0,0.0,,0.0
16,0.0,,0.0,8.0,,8.0,1.0,,1.0,0.0,,0.0,0.0,,0.0
17,125.0,,125.0,7.16021728515625,,7.16021728515625,1.02288818359375,,1.02288818359375,0.625,,0.625,125.0,,125.0
18,0.0,,0.0,14.0,,14.0,1.0,,1.0,0.0,,0.0,0.0,,0.0
19,100.0,,100.0,11.103124999999999,,11.103124999999999,1.009375,,1.009375,0.5,,0.5,100.0,,100.0
