,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,30,31,26,38,20,20,24,38,24,20,30,30,20,31,27,31,26,38,26,30,30,38,20,23,28,21,23,23,27,26,23,27,26,23,24,28,23,31,26,21,23,23,28,23,23,21,23,34,26,40
1,20,20,38,31,20,31,38,31,26,26,20,30,20,30,30,30,38,27,31,30,20,26,26,21,23,26,31,28,23,31,23,26,31,30,34,31,23,30,31,31,26,28,21,31,23,24,26,24,23,33
2,38,24,26,31,20,24,34,20,26,38,30,30,27,31,31,31,27,20,20,26,31,30,38,26,21,28,21,27,23,21,31,26,26,21,23,27,28,31,26,23,23,23,23,28,27,23,38,21,28,33
3,26,31,31,34,34,26,31,25,25,31,20,31,26,20,31,38,20,30,26,25,26,20,27,22,23,27,34,22,23,28,22,25,22,23,22,23,30,38,22,22,28,28,31,31,27,38,26,31,23,47
4,20,20,24,20,20,20,20,38,20,30,26,20,26,31,20,20,24,30,38,38,31,34,34,28,38,38,24,27,23,31,31,21,28,23,27,30,26,28,26,38,21,30,31,21,21,30,27,28,26,35
5,30,20,38,31,31,34,20,34,31,27,38,38,30,34,26,31,20,30,31,38,26,20,20,26,21,34,26,31,38,21,21,30,23,23,31,27,31,38,23,21,38,38,30,21,23,23,28,23,31,35
6,26,31,31,20,38,30,31,38,31,31,20,20,26,38,27,27,20,20,26,24,38,38,20,26,21,38,23,23,23,30,28,23,23,31,26,28,27,34,23,21,30,21,31,23,26,21,28,23,23,33
7,20,26,26,31,20,26,38,20,38,31,31,34,38,27,26,30,25,38,20,27,31,20,20,23,38,28,30,38,23,28,26,34,21,30,23,38,31,31,31,21,31,21,30,34,21,38,25,38,27,35
8,27,26,20,25,25,31,20,20,31,26,31,20,38,25,26,30,31,31,31,38,31,31,38,38,23,30,30,31,23,28,38,31,30,21,31,38,30,28,21,21,21,26,28,21,31,31,26,38,26,36
9,20,20,20,27,26,31,30,20,34,38,31,20,30,31,24,20,26,20,30,20,20,31,30,26,26,21,38,26,23,31,31,23,21,23,21,28,21,26,23,30,23,21,28,21,38,26,23,23,21,47
