,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,20,30,20,30,38,26,38,25,34,38,25,27,31,31,30,26,31,38,25,34,20,26,38,21,31,34,23,38,21,38,26,25,26,23,31,21,25,31,28,28,25,25,31,23,23,30,38,28,28,40
1,26,20,20,38,26,27,27,30,20,31,20,31,20,26,31,30,31,26,27,20,38,26,20,38,28,21,24,31,34,26,28,26,23,23,31,26,26,23,21,23,28,24,23,26,23,26,34,21,23,40
2,20,20,27,20,31,27,26,30,20,31,30,38,34,20,34,20,20,30,34,27,31,31,26,26,26,28,28,23,21,31,23,30,38,27,23,30,28,38,31,23,25,31,38,26,31,21,30,23,34,33
3,31,38,26,20,26,20,31,27,31,34,26,26,31,20,26,34,31,20,26,26,30,20,26,23,23,26,31,28,26,28,26,28,21,21,30,23,23,31,31,24,34,23,27,34,26,34,23,28,23,33
4,31,38,26,20,26,20,38,38,31,31,20,38,27,27,31,31,38,31,20,20,20,27,20,31,28,21,23,23,23,28,31,28,26,26,27,31,30,31,38,23,26,25,23,30,23,28,28,21,28,40
5,20,20,20,20,30,27,30,26,31,31,30,20,31,38,31,31,38,20,27,30,38,34,20,21,26,30,28,28,28,26,31,28,26,30,30,28,21,23,30,23,31,23,23,38,23,23,28,23,23,40
6,30,26,38,20,27,20,26,31,27,26,20,26,30,20,27,26,38,38,30,38,31,38,20,28,31,31,31,28,31,23,26,21,34,21,21,38,38,23,21,28,38,23,23,23,24,26,23,34,21,35
7,38,34,38,31,31,20,31,20,31,30,28,28,34,20,34,26,26,31,38,38,25,34,26,31,22,23,22,28,22,28,28,30,30,28,25,28,26,28,23,30,34,22,22,38,23,30,23,22,31,40
8,38,20,34,20,31,31,30,30,30,30,27,30,26,31,34,26,31,31,31,26,38,38,20,34,21,25,31,23,25,23,28,30,28,30,31,25,28,30,31,30,26,38,31,26,28,30,38,25,25,33
9,20,24,38,38,30,26,31,30,31,20,34,20,24,38,30,26,20,31,38,30,30,34,34,26,27,28,22,22,26,38,22,22,31,22,28,28,23,24,34,23,22,31,23,22,22,38,38,23,28,35
10,30,24,31,34,30,26,20,20,30,30,31,38,30,31,38,20,30,31,20,20,24,20,20,28,23,30,26,28,38,27,23,34,31,26,38,23,26,21,24,24,26,31,24,26,26,26,23,38,28,43
11,31,20,20,26,20,38,38,30,20,38,38,30,26,38,20,31,27,31,25,27,38,30,27,23,25,22,31,31,22,28,38,23,23,31,25,28,22,25,28,23,23,34,28,25,30,26,34,22,28,33
12,31,27,31,27,26,31,31,30,30,34,20,26,31,31,31,31,34,34,30,26,20,38,31,28,21,23,23,30,23,38,38,31,31,23,30,23,26,21,31,28,26,21,23,23,28,26,23,28,34,40
13,38,27,31,27,20,20,26,26,20,34,20,25,31,20,31,31,30,26,20,20,31,20,31,25,23,26,23,31,21,26,23,23,27,26,26,23,23,30,31,28,25,23,31,31,25,23,23,34,38,35
14,24,34,31,27,31,30,31,20,34,31,38,20,34,26,30,20,20,20,20,26,20,30,30,21,23,23,26,24,31,26,34,21,21,24,38,38,23,21,23,28,23,23,38,23,24,24,23,23,23,35
15,31,31,20,31,31,31,31,30,25,30,30,31,34,38,38,20,31,30,30,25,26,26,31,21,28,25,21,31,23,26,28,34,23,25,23,25,21,23,26,28,21,26,30,28,25,23,25,23,23,47
16,38,31,38,20,31,26,25,31,20,38,20,26,34,20,20,30,38,30,20,20,26,26,31,38,34,23,23,28,31,27,23,31,21,28,31,23,27,25,26,31,23,21,25,23,25,23,26,26,23,39
17,20,30,26,34,31,26,25,30,30,26,20,27,25,38,34,38,26,38,20,30,20,38,31,26,28,23,25,27,23,30,21,27,23,23,38,38,30,26,27,38,21,27,21,38,26,26,23,26,28,33
18,20,31,31,31,31,31,38,24,30,20,26,31,24,31,31,30,20,20,20,31,20,26,27,21,30,26,28,23,21,26,24,26,23,31,21,28,26,28,21,28,26,28,21,24,28,23,23,23,28,40
19,30,31,20,20,20,26,31,30,20,30,38,26,38,31,20,38,26,31,20,26,31,31,20,27,21,24,23,28,23,26,23,30,34,30,31,23,31,23,23,23,21,23,26,31,23,23,30,21,24,33
20,31,31,31,28,20,38,26,31,31,38,38,31,25,38,20,20,31,38,20,20,38,26,26,23,34,26,38,31,28,23,23,25,31,34,30,23,23,38,28,28,23,28,23,25,28,31,28,21,23,33
21,30,20,34,26,20,26,20,27,38,24,20,20,24,30,20,30,20,20,20,26,31,31,27,31,23,28,28,26,28,23,31,38,21,26,28,38,21,21,23,23,23,23,21,38,28,24,38,21,23,40
22,30,38,20,26,26,31,26,26,26,31,20,26,31,31,24,38,26,31,31,30,31,26,20,21,23,28,23,23,31,27,27,31,23,23,23,27,23,26,26,23,31,21,23,23,31,30,26,23,21,35
23,20,31,30,20,30,27,27,27,31,26,31,31,20,20,38,31,27,20,20,24,34,38,20,27,22,23,22,24,28,23,26,23,23,23,22,22,23,22,26,31,38,31,28,30,27,23,28,31,23,35
24,32,20,27,32,27,20,27,27,30,31,26,34,20,38,32,30,26,38,38,27,32,26,26,23,23,38,28,27,38,23,22,23,32,27,23,27,22,32,26,26,26,26,26,26,31,28,22,22,38,35
25,20,25,20,38,20,25,20,31,20,38,38,26,25,20,26,25,34,38,31,20,38,30,27,31,30,23,28,23,23,25,21,21,23,21,30,28,31,26,30,28,31,31,34,23,28,21,27,27,26,39
26,20,38,20,20,31,20,26,26,31,38,30,20,20,20,26,20,26,30,31,20,31,20,38,26,23,27,31,31,27,26,21,38,27,30,31,30,23,24,23,26,30,38,23,31,21,26,30,26,23,35
27,20,31,30,25,20,30,20,20,31,38,20,31,31,38,27,31,31,20,26,20,26,38,34,23,31,21,30,31,26,38,27,23,21,31,23,23,30,28,21,28,34,27,23,23,26,31,23,21,31,35
28,20,27,27,24,20,27,20,27,38,24,27,31,27,20,38,27,31,34,20,27,27,27,27,23,30,23,23,27,27,23,28,23,27,27,23,23,27,23,30,23,23,31,24,31,24,31,30,31,31,40
29,31,27,31,27,25,31,27,38,20,20,20,38,20,30,30,30,38,26,30,30,20,38,20,38,23,23,21,27,23,28,25,26,26,26,38,23,26,30,25,38,23,21,26,31,38,28,28,25,27,35
30,20,30,20,26,27,30,24,30,30,20,30,26,30,31,31,30,31,24,20,27,31,30,27,23,28,27,38,23,23,27,28,23,23,34,26,23,28,21,26,23,26,23,23,30,26,38,31,27,34,33
31,26,20,20,31,20,26,31,31,30,26,20,30,38,27,27,30,20,27,27,20,34,38,20,25,31,25,30,25,31,31,34,30,25,25,26,38,23,28,26,38,28,23,21,26,21,28,38,23,28,35
32,20,20,38,20,24,38,24,34,20,26,24,30,27,20,20,38,38,38,20,31,34,38,34,26,23,28,23,23,23,21,28,26,21,21,34,38,23,23,23,30,31,23,21,30,24,23,23,34,26,35
33,34,26,24,31,31,20,27,20,26,20,31,26,24,20,26,31,26,30,26,20,20,20,38,24,26,31,23,24,28,26,30,27,28,28,23,28,31,23,28,23,26,26,23,23,23,31,34,27,23,33
34,26,30,30,20,20,26,26,26,38,26,31,26,24,20,31,20,31,38,31,34,38,26,31,38,23,31,23,28,26,38,31,23,24,38,23,28,23,26,23,28,23,23,31,26,28,26,23,23,23,35
35,31,30,20,31,20,31,20,38,26,30,26,38,20,27,30,31,34,30,31,34,31,38,24,23,30,34,23,27,23,21,21,28,31,31,28,28,23,30,26,21,26,28,27,31,23,26,30,23,23,47
36,20,26,24,31,20,30,27,20,30,26,20,38,20,38,30,30,34,31,24,30,20,30,31,21,31,21,28,24,23,28,24,21,26,26,27,21,23,23,31,31,38,23,31,23,27,30,30,23,23,35
37,34,27,20,38,27,38,31,38,34,26,38,20,31,31,30,25,38,38,30,31,30,26,20,21,26,30,23,23,38,23,31,34,31,21,31,23,31,21,26,23,28,26,23,21,28,31,31,21,38,35
38,20,20,31,31,26,30,20,31,26,38,38,26,31,20,30,25,30,30,38,27,20,34,34,26,31,25,23,28,21,31,26,30,25,25,21,21,30,31,34,31,30,26,30,26,26,31,27,28,25,35
