,0
0,-11252
1,-13099
2,-9938
3,-8736
4,-9746
5,-10571
6,-12209
7,-12797
8,-10917
9,-12076
10,-10777
11,-12600
12,-13092
13,-8486
14,-11728
15,-12754
16,-13987
17,-12297
18,-10819
19,-12074
20,-12088
21,-11968
22,-10972
23,-11161
24,-9828
25,-10867
26,-12092
27,-12210
28,-10766
29,-10898
30,-13186
31,-11247
32,-11933
33,-11361
34,-11893
35,-9456
36,-12641
37,-8083
38,-8260
39,-12942
40,-9459
41,-7839
42,-10426
43,-13612
44,-8257
45,-14257
46,-12335
47,-8529
48,-14352
49,-9870
50,-11318
51,-8035
52,-12504
53,-13704
54,-9438
55,-10929
56,-13437
57,-15579
58,-9543
59,-12324
60,-9773
61,-6789
62,-11526
63,-6871
64,-8156
65,-12583
66,-13712
67,-10866
68,-12851
69,-9747
70,-13305
71,-9537
72,-13783
73,-9512
74,-10311
75,-13776
76,-9915
77,-12167
78,-10544
79,-11729
