,0
0,-2319
1,-3131
2,-2871
3,-2261
4,-2714
5,-925
6,-3727
7,-4173
8,-4158
9,-480
10,-2508
11,-2734
12,-3312
13,-1447
14,-3235
15,-3093
16,-3732
17,-2678
18,-3048
19,-3189
20,-3142
21,-2334
22,-2465
23,-1635
24,-4267
25,-3615
26,-3576
27,-4763
28,-2129
29,-2099
30,-3667
31,-3020
32,-2939
33,-2831
34,-4455
35,-1408
36,-3502
37,-2796
38,-1906
39,-3422
40,-2839
41,-3410
42,-2841
43,-3748
44,-3318
45,-2347
46,-2683
47,-1410
48,-2573
49,-4682
50,-2536
51,-3013
52,-3165
53,-3294
54,-2192
55,-2527
56,-2450
57,-1766
58,-3313
59,-3693
60,-4322
61,-2368
62,-3448
63,-2497
64,-3629
65,-3499
66,-2351
67,-3387
68,-4422
69,-3017
70,-2062
71,-2632
72,-3106
73,-3410
74,-4261
75,-4225
76,-3671
77,-3252
78,-3738
79,-2630
80,-4626
81,-1722
82,-3518
83,-4035
84,-2369
85,-2424
86,-2066
87,-912
88,-3807
89,-2866
90,-1645
91,-4226
92,-2974
93,-2725
94,-2725
95,-2790
96,-942
97,-1095
98,-3018
99,-1423
